time;V(/VOUT);V(Net-_D1-K_);
0.0546018;3.61138;1.71352;
0.0547018;3.61581;1.71776;
0.0548018;3.61138;1.71352;
0.0549018;3.61581;1.71776;
0.0550018;3.61138;1.71352;
0.0551018;3.61581;1.71776;
0.0552018;3.61138;1.71352;
0.0553018;3.61581;1.71776;
0.0554018;3.61138;1.71352;
0.0555018;3.61581;1.71776;
0.0556018;3.61138;1.71352;
0.0557018;3.61581;1.71776;
0.0558018;3.61138;1.71352;
0.0559018;3.61581;1.71776;
0.0560018;3.61138;1.71352;
0.0561018;3.61581;1.71776;
0.0562018;3.61138;1.71352;
0.0563018;3.61581;1.71776;
0.0564018;3.61138;1.71352;
0.0565018;3.61581;1.71776;
0.0566018;3.61138;1.71352;
0.0567018;3.61581;1.71776;
0.0568018;3.61138;1.71352;
0.0569018;3.61581;1.71776;
0.0570018;3.61138;1.71352;
0.0571018;3.61581;1.71776;
0.0572018;3.61138;1.71352;
0.0573018;3.61581;1.71776;
0.0574018;3.61138;1.71352;
0.0575018;3.61581;1.71776;
0.0576018;3.61138;1.71352;
0.0577018;3.61581;1.71776;
0.0578018;3.61138;1.71352;
0.0579018;3.61581;1.71776;
0.0580018;3.61138;1.71352;
0.0581018;3.61581;1.71776;
0.0582018;3.61138;1.71352;
0.0583018;3.61581;1.71776;
0.0584018;3.61138;1.71352;
0.0585018;3.61581;1.71776;
0.0586018;3.61138;1.71352;
0.0587018;3.61581;1.71776;
0.0588018;3.61138;1.71352;
0.0589018;3.61581;1.71776;
0.0590018;3.61138;1.71352;
0.0591018;3.61581;1.71776;
0.0592018;3.61138;1.71352;
0.0593018;3.61581;1.71776;
0.0594018;3.61138;1.71352;
0.0595018;3.61581;1.71776;
0.0596018;3.61138;1.71352;
0.0597018;3.61581;1.71776;
0.0598018;3.61138;1.71352;
0.0599018;3.61581;1.71776;
0.0600018;3.61138;1.71352;
0.0601018;3.61581;1.71776;
0.0602018;3.61138;1.71352;
0.0603018;3.61581;1.71776;
0.0604018;3.61138;1.71352;
0.0605018;3.61581;1.71776;
0.0606018;3.61138;1.71352;
0.0607018;3.61581;1.71776;
0.0608018;3.61138;1.71352;
0.0609018;3.61581;1.71776;
0.0610018;3.61138;1.71352;
0.0611018;3.61581;1.71776;
0.0612018;3.61138;1.71352;
0.0613018;3.61581;1.71776;
