time;V(/VCAP);V(/VOUT);
0.054528;1.97262;3.44797;
0.054628;1.97287;3.44797;
0.054728;1.97313;3.44797;
0.054828;1.97338;3.44797;
0.054928;1.97363;3.44797;
0.055028;1.97388;3.44797;
0.055128;1.97413;3.44797;
0.055228;1.97439;3.44797;
0.055328;1.97464;3.44797;
0.055428;1.97489;3.44797;
0.055528;1.97514;3.44797;
0.055628;1.9754;3.44797;
0.055728;1.97565;3.44797;
0.055828;1.9759;3.44797;
0.055928;1.97615;3.44797;
0.056028;1.9764;3.44797;
0.056128;1.97666;3.44797;
0.056228;1.97691;3.44797;
0.056328;1.97716;3.44797;
0.056428;1.97741;3.44797;
0.056528;1.97766;3.44797;
0.056628;1.97791;3.44797;
0.056728;1.97817;3.44797;
0.056828;1.97842;3.44797;
0.056928;1.97867;3.44797;
0.057028;1.97892;3.44797;
0.057128;1.97917;3.44797;
0.057228;1.97943;3.44797;
0.057328;1.97968;3.44797;
0.057428;1.97993;3.44797;
0.057528;1.98018;3.44797;
0.057628;1.98043;3.44797;
0.057728;1.98068;3.44797;
0.057828;1.98094;3.44797;
0.057928;1.98119;3.44797;
0.058028;1.98144;3.44797;
0.058128;1.98169;3.44797;
0.058228;1.98194;3.44797;
0.058328;1.98219;3.44797;
0.058428;1.98245;3.44797;
0.058528;1.9827;3.44797;
0.058628;1.98295;3.44797;
0.058728;1.9832;3.44797;
0.058828;1.98345;3.44797;
0.058928;1.9837;3.44797;
0.059028;1.98395;3.44797;
0.059128;1.98421;3.44797;
0.059228;1.98446;3.44797;
0.059328;1.98471;3.44797;
0.059428;1.98496;3.44797;
0.059528;1.98521;3.44797;
0.059628;1.98546;3.44797;
0.059728;1.98571;3.44797;
0.059828;1.98596;3.44797;
0.059928;1.98622;3.44797;
0.060028;1.98647;3.44797;
0.060128;1.98672;3.44797;
0.060228;1.98697;3.44797;
0.060328;1.98722;3.44797;
0.060428;1.98747;3.44797;
0.060528;1.98772;3.44797;
0.060628;1.98797;3.44797;
0.060728;1.98822;3.44797;
0.060828;1.98847;3.44797;
0.060928;1.98873;3.44797;
0.061028;1.98898;3.44797;
0.061128;1.98923;3.44797;
0.061228;1.98948;3.44797;
0.061328;1.98973;3.44797;
0.061428;1.98998;3.44797;
0.061528;1.99023;3.44797;
0.061628;1.99048;3.44797;
0.061728;1.99073;3.44797;
0.061828;1.99098;3.44797;
0.061928;1.99123;3.44797;
0.062028;1.99149;3.44797;
0.062128;1.99174;3.44797;
0.062228;1.99199;3.44797;
0.062328;1.99224;3.44797;
0.062428;1.99249;3.44797;
0.062528;1.99274;3.44797;
0.062628;1.99299;3.44797;
0.062728;1.99324;3.44797;
0.062828;1.99349;3.44797;
0.062928;1.99374;3.44797;
0.063028;1.99399;3.44797;
0.063128;1.99424;3.44797;
0.063228;1.99449;3.44797;
0.063328;1.99474;3.44797;
0.063428;1.99499;3.44797;
0.063528;1.99524;3.44797;
0.063628;1.99549;3.44797;
0.063728;1.99574;3.44797;
0.063828;1.99599;3.44797;
0.063928;1.99625;3.44797;
0.064028;1.9965;3.44797;
0.064128;1.99675;3.44797;
0.064228;1.997;3.44797;
