time;V(/VCAP);V(/VOUT);
0.0253018;1.93377;3.61582;
0.0254018;1.93421;3.61137;
0.0255018;1.93465;3.61582;
0.0256018;1.93509;3.61137;
0.0257018;1.93553;3.61582;
0.0258018;1.93596;3.61137;
0.0259018;1.9364;3.61582;
0.0260018;1.93684;3.61137;
0.0261018;1.93728;3.61582;
0.0262018;1.93771;3.61137;
0.0263018;1.93815;3.61582;
0.0264018;1.93859;3.61137;
0.0265018;1.93903;3.61582;
0.0266018;1.93946;3.61137;
0.0267018;1.9399;3.61582;
0.0268018;1.94034;3.61137;
0.0269018;1.94077;3.61582;
0.0270018;1.94121;3.61137;
0.0271018;1.94165;3.61582;
0.0272018;1.94209;3.61137;
0.0273018;1.94252;3.61582;
0.0274018;1.94296;3.61137;
0.0275018;1.9434;3.61582;
0.0276018;1.94383;3.61137;
0.0277018;1.94427;3.61582;
0.0278018;1.94471;3.61137;
0.0279018;1.94514;3.61582;
0.0280018;1.94558;3.61137;
0.0281018;1.94602;3.61582;
0.0282018;1.94645;3.61137;
0.0283018;1.94689;3.61582;
0.0284018;1.94732;3.61137;
0.0285018;1.94776;3.61582;
0.0286018;1.9482;3.61137;
0.0287018;1.94863;3.61582;
0.0288018;1.94907;3.61137;
0.0289018;1.9495;3.61582;
0.0290018;1.94994;3.61137;
0.0291018;1.95038;3.61582;
0.0292018;1.95081;3.61137;
0.0293018;1.95125;3.61582;
0.0294018;1.95168;3.61137;
0.0295018;1.95212;3.61582;
0.0296018;1.95255;3.61137;
0.0297018;1.95299;3.61582;
0.0298018;1.95342;3.61137;
0.0299018;1.95386;3.61582;
0.0300018;1.95429;3.61137;
0.0301018;1.95473;3.61582;
0.0302018;1.95516;3.61137;
0.0303018;1.9556;3.61582;
0.0304018;1.95603;3.61137;
0.0305018;1.95647;3.61582;
0.0306018;1.9569;3.61137;
0.0307018;1.95734;3.61582;
0.0308018;1.95777;3.61137;
0.0309018;1.95821;3.61582;
0.0310018;1.95864;3.61137;
0.0311018;1.95908;3.61582;
0.0312018;1.95951;3.61137;
0.0313018;1.95995;3.61582;
0.0314018;1.96038;3.61137;
0.0315018;1.96081;3.61582;
0.0316018;1.96125;3.61137;
0.0317018;1.96168;3.61582;
0.0318018;1.96212;3.61137;
0.0319018;1.96255;3.61582;
0.0320018;1.96298;3.61137;
0.0321018;1.96342;3.61582;
0.0322018;1.96385;3.61137;
0.0323018;1.96429;3.61582;
0.0324018;1.96472;3.61137;
0.0325018;1.96515;3.61582;
0.0326018;1.96559;3.61137;
0.0327018;1.96602;3.61582;
0.0328018;1.96645;3.61137;
0.0329018;1.96689;3.61582;
0.0330018;1.96732;3.61137;
0.0331018;1.96775;3.61582;
0.0332018;1.96819;3.61137;
0.0333018;1.96862;3.61582;
0.0334018;1.96905;3.61137;
0.0335018;1.96949;3.61582;
0.0336018;1.96992;3.61137;
0.0337018;1.97035;3.61582;
0.0338018;1.97078;3.61137;
0.0339018;1.97122;3.61582;
0.0340018;1.97165;3.61137;
0.0341018;1.97208;3.61582;
0.0342018;1.97252;3.61137;
0.0343018;1.97295;3.61582;
0.0344018;1.97338;3.61137;
0.0345018;1.97381;3.61582;
0.0346018;1.97425;3.61137;
0.0347018;1.97468;3.61582;
0.0348018;1.97511;3.61137;
0.0349018;1.97554;3.61582;
0.0350018;1.97597;3.61137;
0.0351018;1.97641;3.61582;
0.0352018;1.97684;3.61137;
0.0353018;1.97727;3.61582;
0.0354018;1.9777;3.61137;
0.0355018;1.97813;3.61582;
0.0356018;1.97856;3.61137;
0.0357018;1.979;3.61582;
0.0358018;1.97943;3.61137;
0.0359018;1.97986;3.61582;
0.0360018;1.98029;3.61137;
0.0361018;1.98072;3.61582;
0.0362018;1.98115;3.61137;
0.0363018;1.98158;3.61582;
0.0364018;1.98202;3.61137;
0.0365018;1.98245;3.61582;
0.0366018;1.98288;3.61137;
0.0367018;1.98331;3.61582;
0.0368018;1.98374;3.61137;
0.0369018;1.98417;3.61582;
0.0370018;1.9846;3.61137;
0.0371018;1.98503;3.61582;
0.0372018;1.98546;3.61137;
0.0373018;1.98589;3.61582;
0.0374018;1.98632;3.61137;
0.0375018;1.98676;3.61582;
0.0376018;1.98719;3.61137;
0.0377018;1.98762;3.61582;
0.0378018;1.98805;3.61137;
0.0379018;1.98848;3.61582;
0.0380018;1.98891;3.61137;
0.0381018;1.98934;3.61582;
0.0382018;1.98977;3.61137;
0.0383018;1.9902;3.61582;
0.0384018;1.99063;3.61137;
0.0385018;1.99106;3.61582;
0.0386018;1.99149;3.61137;
0.0387018;1.99192;3.61582;
0.0388018;1.99235;3.61137;
0.0389018;1.99278;3.61582;
0.0390018;1.99321;3.61137;
0.0391018;1.99364;3.61582;
0.0392018;1.99406;3.61137;
0.0393018;1.99449;3.61582;
0.0394018;1.99492;3.61137;
0.0395018;1.99535;3.61582;
0.0396018;1.99578;3.61137;
0.0397018;1.99621;3.61582;
0.0398018;1.99664;3.61137;
0.0399018;1.99707;3.61582;
0.0400018;1.9975;3.61137;
0.0401018;1.99793;3.61582;
0.0402018;1.99836;3.61137;
0.0403018;1.99878;3.61582;
0.0404018;1.99921;3.61137;
0.0405018;1.99964;3.61582;
0.0406018;2.00007;3.61137;
0.0407018;2.0005;3.61582;
0.0408018;2.00093;3.61137;
0.0409018;2.00136;3.61582;
0.0410018;2.00178;3.61137;
0.0411018;2.00221;3.61582;
0.0412018;2.00264;3.61137;
0.0413018;2.00307;3.61582;
0.0414018;2.0035;3.61137;
0.0415018;2.00393;3.61582;
0.0416018;2.00435;3.61137;
0.0417018;2.00478;3.61582;
0.0418018;2.00521;3.61137;
0.0419018;2.00564;3.61582;
0.0420018;2.00606;3.61137;
0.0421018;2.00649;3.61582;
0.0422018;2.00692;3.61137;
0.0423018;2.00735;3.61582;
0.0424018;2.00778;3.61137;
0.0425018;2.0082;3.61582;
0.0426018;2.00863;3.61137;
0.0427018;2.00906;3.61582;
0.0428018;2.00948;3.61137;
0.0429018;2.00991;3.61582;
0.0430018;2.01034;3.61137;
0.0431018;2.01077;3.61582;
0.0432018;2.01119;3.61137;
0.0433018;2.01162;3.61582;
0.0434018;2.01205;3.61137;
0.0435018;2.01247;3.61582;
0.0436018;2.0129;3.61137;
0.0437018;2.01333;3.61582;
0.0438018;2.01375;3.61137;
0.0439018;2.01418;3.61582;
0.0440018;2.01461;3.61137;
0.0441018;2.01503;3.61582;
0.0442018;2.01546;3.61137;
0.0443018;2.01589;3.61582;
0.0444018;2.01631;3.61137;
0.0445018;2.01674;3.61582;
0.0446018;2.01716;3.61137;
0.0447018;2.01759;3.61582;
0.0448018;2.01802;3.61137;
0.0449018;2.01844;3.61582;
0.0450018;2.01887;3.61137;
0.0451018;2.01929;3.61582;
0.0452018;2.01972;3.61137;
0.0453018;2.02015;3.61582;
0.0454018;2.02057;3.61137;
0.0455018;2.021;3.61582;
0.0456018;2.02142;3.61137;
0.0457018;2.02185;3.61582;
0.0458018;2.02227;3.61137;
0.0459018;2.0227;3.61582;
0.0460018;2.02312;3.61137;
0.0461018;2.02355;3.61582;
0.0462018;2.02398;3.61137;
0.0463018;2.0244;3.61582;
0.0464018;2.02483;3.61137;
0.0465018;2.02525;3.61582;
0.0466018;2.02568;3.61137;
0.0467018;2.0261;3.61582;
0.0468018;2.02653;3.61137;
0.0469018;2.02695;3.61582;
0.0470018;2.02737;3.61137;
0.0471018;2.0278;3.61582;
0.0472018;2.02822;3.61137;
0.0473018;2.02865;3.61582;
0.0474018;2.02907;3.61137;
0.0475018;2.0295;3.61582;
0.0476018;2.02992;3.61137;
0.0477018;2.03035;3.61582;
0.0478018;2.03077;3.61137;
0.0479018;2.03119;3.61582;
0.0480018;2.03162;3.61137;
0.0481018;2.03204;3.61582;
0.0482018;2.03247;3.61137;
0.0483018;2.03289;3.61582;
0.0484018;2.03331;3.61137;
0.0485018;2.03374;3.61582;
0.0486018;2.03416;3.61137;
0.0487018;2.03459;3.61582;
0.0488018;2.03501;3.61137;
0.0489018;2.03543;3.61582;
0.0490018;2.03586;3.61137;
0.0491018;2.03628;3.61582;
0.0492018;2.0367;3.61137;
0.0493018;2.03713;3.61582;
0.0494018;2.03755;3.61137;
0.0495018;2.03797;3.61582;
0.0496018;2.0384;3.61137;
0.0497018;2.03882;3.61582;
0.0498018;2.03924;3.61137;
0.0499018;2.03966;3.61582;
0.0500018;2.04009;3.61137;
0.0501018;2.04051;3.61582;
0.0502018;2.04093;3.61137;
0.0503018;2.04136;3.61582;
0.0504018;2.04178;3.61137;
0.0505018;2.0422;3.61582;
0.0506018;2.04262;3.61137;
0.0507018;2.04305;3.61582;
0.0508018;2.04347;3.61137;
0.0509018;2.04389;3.61581;
0.0510018;2.04431;3.61137;
0.0511018;2.04474;3.61581;
0.0512018;2.04516;3.61137;
0.0513018;2.04558;3.61581;
0.0514018;2.046;3.61137;
0.0515018;2.04642;3.61581;
0.0516018;2.04685;3.61138;
0.0517018;2.04727;3.61581;
0.0518018;2.04769;3.61138;
0.0519018;2.04811;3.61581;
0.0520018;2.04853;3.61138;
0.0521018;2.04895;3.61581;
0.0522018;2.04938;3.61138;
0.0523018;2.0498;3.61581;
0.0524018;2.05022;3.61138;
0.0525018;2.05064;3.61581;
0.0526018;2.05106;3.61138;
0.0527018;2.05148;3.61581;
0.0528018;2.0519;3.61138;
0.0529018;2.05232;3.61581;
0.0530018;2.05275;3.61138;
0.0531018;2.05317;3.61581;
0.0532018;2.05359;3.61138;
0.0533018;2.05401;3.61581;
0.0534018;2.05443;3.61138;
0.0535018;2.05485;3.61581;
0.0536018;2.05527;3.61138;
0.0537018;2.05569;3.61581;
0.0538018;2.05611;3.61138;
0.0539018;2.05653;3.61581;
0.0540018;2.05695;3.61138;
0.0541018;2.05737;3.61581;
0.0542018;2.05779;3.61138;
0.0543018;2.05821;3.61581;
0.0544018;2.05863;3.61138;
0.0545018;2.05905;3.61581;
0.0546018;2.05947;3.61138;
0.0547018;2.05989;3.61581;
0.0548018;2.06031;3.61138;
0.0549018;2.06073;3.61581;
0.0550018;2.06115;3.61138;
0.0551018;2.06157;3.61581;
0.0552018;2.06199;3.61138;
0.0553018;2.06241;3.61581;
0.0554018;2.06283;3.61138;
0.0555018;2.06325;3.61581;
0.0556018;2.06367;3.61138;
0.0557018;2.06409;3.61581;
0.0558018;2.06451;3.61138;
0.0559018;2.06493;3.61581;
0.0560018;2.06535;3.61138;
0.0561018;2.06577;3.61581;
0.0562018;2.06619;3.61138;
0.0563018;2.06661;3.61581;
0.0564018;2.06703;3.61138;
0.0565018;2.06745;3.61581;
0.0566018;2.06786;3.61138;
0.0567018;2.06828;3.61581;
0.0568018;2.0687;3.61138;
0.0569018;2.06912;3.61581;
0.0570018;2.06954;3.61138;
0.0571018;2.06996;3.61581;
0.0572018;2.07038;3.61138;
0.0573018;2.0708;3.61581;
0.0574018;2.07121;3.61138;
0.0575018;2.07163;3.61581;
0.0576018;2.07205;3.61138;
0.0577018;2.07247;3.61581;
0.0578018;2.07289;3.61138;
0.0579018;2.0733;3.61581;
0.0580018;2.07372;3.61138;
0.0581018;2.07414;3.61581;
0.0582018;2.07456;3.61138;
0.0583018;2.07498;3.61581;
0.0584018;2.07539;3.61138;
0.0585018;2.07581;3.61581;
0.0586018;2.07623;3.61138;
0.0587018;2.07665;3.61581;
0.0588018;2.07707;3.61138;
0.0589018;2.07748;3.61581;
0.0590018;2.0779;3.61138;
0.0591018;2.07832;3.61581;
0.0592018;2.07874;3.61138;
0.0593018;2.07915;3.61581;
0.0594018;2.07957;3.61138;
0.0595018;2.07999;3.61581;
0.0596018;2.0804;3.61138;
0.0597018;2.08082;3.61581;
0.0598018;2.08124;3.61138;
0.0599018;2.08166;3.61581;
0.0600018;2.08207;3.61138;
0.0601018;2.08249;3.61581;
0.0602018;2.08291;3.61138;
0.0603018;2.08332;3.61581;
0.0604018;2.08374;3.61138;
0.0605018;2.08416;3.61581;
0.0606018;2.08457;3.61138;
0.0607018;2.08499;3.61581;
0.0608018;2.0854;3.61138;
0.0609018;2.08582;3.61581;
0.0610018;2.08624;3.61138;
0.0611018;2.08665;3.61581;
0.0612018;2.08707;3.61138;
0.0613018;2.08749;3.61581;
0.0614018;2.0879;3.61138;
0.0615018;2.08832;3.61581;
0.0616018;2.08873;3.61138;
0.0617018;2.08915;3.61581;
0.0618018;2.08957;3.61138;
0.0619018;2.08998;3.61581;
0.0620018;2.0904;3.61138;
0.0621018;2.09081;3.61581;
0.0622018;2.09123;3.61138;
0.0623018;2.09164;3.61581;
0.0624018;2.09206;3.61138;
0.0625018;2.09247;3.61581;
0.0626018;2.09289;3.61138;
0.0627018;2.09331;3.61581;
0.0628018;2.09372;3.61138;
0.0629018;2.09414;3.61581;
0.0630018;2.09455;3.61138;
0.0631018;2.09497;3.61581;
0.0632018;2.09538;3.61138;
0.0633018;2.0958;3.61581;
0.0634018;2.09621;3.61138;
0.0635018;2.09663;3.61581;
0.0636018;2.09704;3.61138;
0.0637018;2.09745;3.61581;
0.0638018;2.09787;3.61138;
0.0639018;2.09828;3.61581;
0.0640018;2.0987;3.61138;
0.0641018;2.09911;3.61581;
0.0642018;2.09953;3.61138;
0.0643018;2.09994;3.61581;
0.0644018;2.10036;3.61138;
0.0645018;2.10077;3.61581;
0.0646018;2.10118;3.61138;
0.0647018;2.1016;3.61581;
0.0648018;2.10201;3.61138;
0.0649018;2.10243;3.61581;
0.0650018;2.10284;3.61138;
0.0651018;2.10325;3.61581;
0.0652018;2.10367;3.61138;
0.0653018;2.10408;3.61581;
0.0654018;2.1045;3.61138;
0.0655018;2.10491;3.61581;
0.0656018;2.10532;3.61138;
0.0657018;2.10574;3.61581;
0.0658018;2.10615;3.61138;
0.0659018;2.10656;3.61581;
0.0660018;2.10698;3.61138;
0.0661018;2.10739;3.61581;
0.0662018;2.1078;3.61138;
0.0663018;2.10822;3.61581;
0.0664018;2.10863;3.61138;
0.0665018;2.10904;3.61581;
0.0666018;2.10945;3.61138;
0.0667018;2.10987;3.61581;
0.0668018;2.11028;3.61138;
0.0669018;2.11069;3.61581;
0.0670018;2.11111;3.61138;
0.0671018;2.11152;3.61581;
0.0672018;2.11193;3.61138;
0.0673018;2.11234;3.61581;
0.0674018;2.11276;3.61138;
0.0675018;2.11317;3.61581;
0.0676018;2.11358;3.61138;
0.0677018;2.11399;3.61581;
0.0678018;2.11441;3.61138;
0.0679018;2.11482;3.61581;
0.0680018;2.11523;3.61138;
0.0681018;2.11564;3.61581;
0.0682018;2.11605;3.61138;
0.0683018;2.11647;3.61581;
0.0684018;2.11688;3.61138;
0.0685018;2.11729;3.61581;
0.0686018;2.1177;3.61138;
0.0687018;2.11811;3.61581;
0.0688018;2.11853;3.61138;
0.0689018;2.11894;3.61581;
0.0690018;2.11935;3.61138;
0.0691018;2.11976;3.61581;
0.0692018;2.12017;3.61138;
0.0693018;2.12058;3.61581;
0.0694018;2.12099;3.61138;
0.0695018;2.12141;3.61581;
0.0696018;2.12182;3.61138;
0.0697018;2.12223;3.61581;
0.0698018;2.12264;3.61138;
0.0699018;2.12305;3.61581;
0.0700018;2.12346;3.61138;
0.0701018;2.12387;3.61581;
0.0702018;2.12428;3.61138;
0.0703018;2.12469;3.61581;
0.0704018;2.1251;3.61138;
0.0705018;2.12551;3.61581;
0.0706018;2.12593;3.61138;
0.0707018;2.12634;3.61581;
0.0708018;2.12675;3.61138;
0.0709018;2.12716;3.61581;
0.0710018;2.12757;3.61138;
0.0711018;2.12798;3.61581;
0.0712018;2.12839;3.61138;
0.0713018;2.1288;3.61581;
0.0714018;2.12921;3.61138;
0.0715018;2.12962;3.61581;
0.0716018;2.13003;3.61138;
0.0717018;2.13044;3.61581;
0.0718018;2.13085;3.61138;
0.0719018;2.13126;3.61581;
0.0720018;2.13167;3.61138;
0.0721018;2.13208;3.61581;
0.0722018;2.13249;3.61138;
0.0723018;2.1329;3.61581;
0.0724018;2.13331;3.61138;
0.0725018;2.13372;3.61581;
0.0726018;2.13412;3.61138;
0.0727018;2.13453;3.61581;
0.0728018;2.13494;3.61138;
0.0729018;2.13535;3.61581;
0.0730018;2.13576;3.61138;
0.0731018;2.13617;3.61581;
0.0732018;2.13658;3.61138;
0.0733018;2.13699;3.61581;
0.0734018;2.1374;3.61138;
0.0735018;2.13781;3.61581;
0.0736018;2.13822;3.61138;
0.0737018;2.13862;3.61581;
0.0738018;2.13903;3.61138;
0.0739018;2.13944;3.61581;
0.0740018;2.13985;3.61138;
0.0741018;2.14026;3.61581;
0.0742018;2.14067;3.61138;
0.0743018;2.14108;3.61581;
0.0744018;2.14148;3.61138;
0.0745018;2.14189;3.61581;
0.0746018;2.1423;3.61138;
0.0747018;2.14271;3.61581;
0.0748018;2.14312;3.61138;
0.0749018;2.14353;3.61581;
0.0750018;2.14393;3.61138;
0.0751018;2.14434;3.61581;
0.0752018;2.14475;3.61138;
0.0753018;2.14516;3.61581;
0.0754018;2.14557;3.61138;
0.0755018;2.14597;3.61581;
0.0756018;2.14638;3.61138;
0.0757018;2.14679;3.61581;
0.0758018;2.1472;3.61138;
0.0759018;2.1476;3.61581;
0.0760018;2.14801;3.61138;
0.0761018;2.14842;3.61581;
0.0762018;2.14883;3.61138;
0.0763018;2.14923;3.61581;
0.0764018;2.14964;3.61138;
0.0765018;2.15005;3.61581;
0.0766018;2.15045;3.61138;
0.0767018;2.15086;3.61581;
0.0768018;2.15127;3.61138;
0.0769018;2.15168;3.61581;
0.0770018;2.15208;3.61138;
0.0771018;2.15249;3.61581;
