time;I(D1);P(R3);V(/VOUT);V(Net-_D1-K_);
0.0380018;0.00519247;0.00889731;3.61137;1.71351;
0.0381018;0.00520536;0.00894154;3.61582;1.71777;
0.0382018;0.00519247;0.00889731;3.61137;1.71351;
0.0383018;0.00520536;0.00894154;3.61582;1.71777;
0.0384018;0.00519247;0.00889731;3.61137;1.71351;
0.0385018;0.00520536;0.00894154;3.61582;1.71777;
0.0386018;0.00519247;0.00889731;3.61137;1.71351;
0.0387018;0.00520536;0.00894154;3.61582;1.71777;
0.0388018;0.00519247;0.00889731;3.61137;1.71351;
0.0389018;0.00520536;0.00894154;3.61582;1.71777;
0.0390018;0.00519247;0.00889731;3.61137;1.71351;
0.0391018;0.00520536;0.00894154;3.61582;1.71777;
0.0392018;0.00519247;0.00889731;3.61137;1.71351;
0.0393018;0.00520536;0.00894154;3.61582;1.71777;
0.0394018;0.00519247;0.00889731;3.61137;1.71351;
0.0395018;0.00520536;0.00894154;3.61582;1.71777;
0.0396018;0.00519247;0.00889731;3.61137;1.71351;
0.0397018;0.00520536;0.00894154;3.61582;1.71777;
0.0398018;0.00519247;0.00889731;3.61137;1.71351;
0.0399018;0.00520536;0.00894154;3.61582;1.71777;
0.0400018;0.00519247;0.00889731;3.61137;1.71351;
0.0401018;0.00520536;0.00894154;3.61582;1.71777;
0.0402018;0.00519247;0.00889731;3.61137;1.71351;
0.0403018;0.00520536;0.00894154;3.61582;1.71777;
0.0404018;0.00519247;0.00889731;3.61137;1.71351;
0.0405018;0.00520536;0.00894154;3.61582;1.71777;
0.0406018;0.00519247;0.00889731;3.61137;1.71351;
0.0407018;0.00520536;0.00894154;3.61582;1.71777;
0.0408018;0.00519247;0.00889731;3.61137;1.71351;
0.0409018;0.00520536;0.00894153;3.61582;1.71777;
0.0410018;0.00519247;0.00889732;3.61137;1.71351;
0.0411018;0.00520536;0.00894153;3.61582;1.71777;
0.0412018;0.00519247;0.00889732;3.61137;1.71351;
0.0413018;0.00520536;0.00894153;3.61582;1.71777;
0.0414018;0.00519247;0.00889732;3.61137;1.71351;
0.0415018;0.00520536;0.00894153;3.61582;1.71777;
0.0416018;0.00519247;0.00889732;3.61137;1.71351;
0.0417018;0.00520535;0.00894153;3.61582;1.71777;
0.0418018;0.00519247;0.00889732;3.61137;1.71351;
0.0419018;0.00520535;0.00894153;3.61582;1.71777;
0.0420018;0.00519247;0.00889732;3.61137;1.71351;
0.0421018;0.00520535;0.00894153;3.61582;1.71777;
0.0422018;0.00519247;0.00889732;3.61137;1.71351;
