time;P(R3);
0.0792018;0.00889743;
0.0793018;0.00894143;
0.0794018;0.00889743;
0.0795018;0.00894143;
0.0796018;0.00889743;
0.0797018;0.00894143;
0.0798018;0.00889743;
0.0799018;0.00894142;
0.0800018;0.00889743;
0.0801018;0.00894142;
0.0802018;0.00889744;
0.0803018;0.00894142;
0.0804018;0.00889744;
0.0805018;0.00894142;
0.0806018;0.00889744;
0.0807018;0.00894142;
0.0808018;0.00889744;
0.0809018;0.00894142;
0.0810018;0.00889744;
0.0811018;0.00894142;
0.0812018;0.00889744;
0.0813018;0.00894142;
0.0814018;0.00889744;
0.0815018;0.00894142;
0.0816018;0.00889744;
0.0817018;0.00894142;
0.0818018;0.00889744;
0.0819018;0.00894142;
0.0820018;0.00889744;
0.0821018;0.00894142;
0.0822018;0.00889744;
0.0823018;0.00894142;
0.0824018;0.00889744;
0.0825018;0.00894142;
0.0826018;0.00889744;
0.0827018;0.00894142;
0.0828018;0.00889744;
0.0829018;0.00894142;
0.0830018;0.00889744;
0.0831018;0.00894141;
0.0832018;0.00889745;
0.0833018;0.00894141;
0.0834018;0.00889745;
0.0835018;0.00894141;
0.0836018;0.00889745;
0.0837018;0.00894141;
0.0838018;0.00889745;
0.0839018;0.00894141;
0.0840018;0.00889745;
0.0841018;0.00894141;
0.0842018;0.00889745;
0.0843018;0.00894141;
0.0844018;0.00889745;
0.0845018;0.00894141;
0.0846018;0.00889745;
0.0847018;0.00894141;
0.0848018;0.00889745;
0.0849018;0.00894141;
0.0850018;0.00889745;
0.0851018;0.00894141;
0.0852018;0.00889745;
0.0853018;0.00894141;
0.0854018;0.00889745;
0.0855018;0.00894141;
0.0856018;0.00889745;
0.0857018;0.00894141;
0.0858018;0.00889745;
0.0859018;0.00894141;
0.0860018;0.00889746;
0.0861018;0.00894141;
0.0862018;0.00889746;
0.0863018;0.0089414;
0.0864018;0.00889746;
0.0865018;0.0089414;
0.0866018;0.00889746;
0.0867018;0.0089414;
0.0868018;0.00889746;
0.0869018;0.0089414;
0.0870018;0.00889746;
0.0871018;0.0089414;
0.0872018;0.00889746;
0.0873018;0.0089414;
0.0874018;0.00889746;
0.0875018;0.0089414;
0.0876018;0.00889746;
0.0877018;0.0089414;
0.0878018;0.00889746;
0.0879018;0.0089414;
0.0880018;0.00889746;
0.0881018;0.0089414;
0.0882018;0.00889746;
0.0883018;0.0089414;
0.0884018;0.00889746;
0.0885018;0.0089414;
0.0886018;0.00889746;
0.0887018;0.0089414;
0.0888018;0.00889746;
0.0889018;0.0089414;
0.0890018;0.00889747;
0.0891018;0.0089414;
0.0892018;0.00889747;
0.0893018;0.00894139;
0.0894018;0.00889747;
0.0895018;0.00894139;
0.0896018;0.00889747;
0.0897018;0.00894139;
0.0898018;0.00889747;
0.0899018;0.00894139;
0.0900018;0.00889747;
0.0901018;0.00894139;
0.0902018;0.00889747;
0.0903018;0.00894139;
0.0904018;0.00889747;
0.0905018;0.00894139;
0.0906018;0.00889747;
0.0907018;0.00894139;
0.0908018;0.00889747;
0.0909018;0.00894139;
0.0910018;0.00889747;
0.0911018;0.00894139;
0.0912018;0.00889747;
0.0913018;0.00894139;
0.0914018;0.00889747;
0.0915018;0.00894139;
0.0916018;0.00889747;
0.0917018;0.00894139;
0.0918018;0.00889748;
0.0919018;0.00894139;
0.0920018;0.00889748;
0.0921018;0.00894139;
